Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:06:01.206],3.79,22.72,0.19,4.27,133
[00:06:18.156],3.79,22.72,0.84,4.89,134
[00:06:18.360],3.76,22.57,1.69,38.24,134
[00:06:18.563],3.74,22.47,2.64,59.42,134
[00:06:18.764],3.73,22.38,3.44,77.05,134
[00:06:18.966],3.72,22.32,3.98,88.84,134
[00:06:19.574],3.73,22.41,3.02,67.60,135
[00:06:19.976],3.76,22.54,1.71,38.50,135
[00:06:20.176],3.77,22.60,1.17,26.36,135
[00:06:21.386],3.76,22.57,1.90,33.27,136
[00:06:21.795],3.77,22.61,1.01,22.84,136
[00:06:21.995],3.75,22.51,2.06,46.40,136
[00:06:22.399],3.76,22.57,1.35,30.48,136
[00:06:22.600],3.74,22.45,2.62,58.75,136
[00:06:24.015],3.74,22.42,2.75,61.75,137
[00:06:25.310],3.74,22.42,2.72,60.88,138
[00:06:26.581],3.73,22.38,2.90,64.89,139
[00:06:27.768],3.73,22.36,3.03,67.78,140
[00:06:28.251],3.75,22.48,1.96,43.94,141
[00:06:28.452],3.72,22.34,3.23,72.21,141
[00:06:28.654],3.74,22.41,2.52,56.39,141
[00:06:29.057],3.74,22.41,3.59,55.50,141
[00:06:29.263],3.74,22.42,2.45,54.99,141
[00:06:29.465],3.72,22.32,3.38,75.41,142
[00:06:29.667],3.73,22.40,2.61,58.45,142
[00:06:30.981],3.73,22.38,2.76,61.73,143
[00:06:32.245],3.73,22.41,2.38,53.29,144
[00:06:32.291],3.72,22.33,3.14,70.08,144
[00:06:33.415],3.72,22.33,3.19,71.23,145
[00:06:34.572],3.72,22.32,3.10,69.16,146
[00:06:35.740],3.72,22.33,3.07,68.55,147
[00:06:36.915],3.72,22.32,3.06,68.20,148
[00:06:38.094],3.72,22.32,3.04,67.96,149
[00:06:39.275],3.72,22.31,3.07,68.51,150
[00:06:40.163],3.74,22.47,1.58,35.36,150
[00:06:40.364],3.76,22.58,0.53,11.87,151
[00:06:48.032],3.78,22.65,1.08,6.00,151
[00:06:48.239],3.77,22.65,0.28,6.36,151
[00:07:00.649],3.78,22.65,0.45,10.22,152
[00:07:07.532],3.77,22.65,0.52,11.89,153
[00:07:13.876],3.77,22.59,1.03,23.32,154
[00:07:14.077],3.75,22.51,1.81,40.75,154
[00:07:14.681],3.74,22.43,2.43,54.47,155
[00:07:15.893],3.72,22.34,3.34,74.58,155
[00:07:16.095],3.74,22.43,2.37,53.17,156
[00:07:16.497],3.73,22.36,3.04,68.03,156
[00:07:16.698],3.74,22.43,2.36,52.99,156
[00:07:16.900],3.73,22.36,3.02,67.41,156
[00:07:17.308],3.74,22.42,2.44,54.71,156
[00:07:17.504],3.74,22.42,3.04,54.71,157
[00:07:18.699],3.72,22.32,3.23,72.14,158
[00:07:19.728],3.73,22.38,2.67,59.70,159
[00:07:19.927],3.73,22.38,3.39,59.70,159
[00:07:20.536],3.72,22.34,2.84,63.35,159
[00:07:21.542],3.72,22.31,3.64,80.91,160
[00:07:22.617],3.71,22.28,3.41,75.88,161
[00:07:23.709],3.72,22.29,3.18,70.93,162
[00:07:24.574],3.71,22.24,3.75,83.43,163
[00:07:24.775],3.72,22.34,2.68,59.85,163
[00:07:25.378],3.72,22.35,3.48,77.35,164
[00:07:25.579],3.71,22.26,2.76,77.35,164
[00:07:26.185],3.69,22.15,4.55,100.64,164
[00:07:26.593],3.70,22.20,4.02,89.25,165
[00:07:27.525],3.70,22.22,3.64,80.83,166
[00:07:27.601],3.71,22.28,3.10,69.16,166
[00:07:28.002],3.72,22.33,2.45,54.76,166
[00:07:29.418],3.74,22.41,1.89,42.28,167
[00:07:30.429],3.72,22.32,2.78,62.10,168
[00:07:31.033],3.73,22.40,2.05,45.90,168
[00:07:31.234],3.72,22.32,2.82,62.89,168
[00:07:32.386],3.71,22.28,3.07,68.46,169
[00:07:32.645],3.73,22.37,2.22,49.55,169
[00:07:33.048],3.73,22.40,2.85,63.59,170
[00:07:33.657],3.73,22.37,2.30,51.46,170
[00:07:34.059],3.72,22.30,2.93,65.37,170
[00:07:35.298],3.72,22.30,2.94,65.56,171
[00:07:36.481],3.71,22.29,2.95,65.78,172
[00:07:36.685],3.70,22.19,3.96,87.82,173
[00:07:36.886],3.71,22.25,3.32,73.89,173
[00:07:37.088],3.72,22.31,2.66,59.33,173
[00:07:37.289],3.70,22.22,3.62,80.36,173
[00:07:38.198],3.70,22.17,3.99,88.40,174
[00:07:38.705],3.68,22.11,4.51,99.78,175
[00:07:38.906],3.71,22.26,3.09,68.86,175
[00:07:39.107],3.69,22.13,4.30,95.15,175
[00:07:39.951],3.69,22.15,4.09,90.60,176
[00:07:40.869],3.69,22.17,3.87,85.70,177
[00:07:41.889],3.70,22.20,3.52,78.24,178
[00:07:42.909],3.70,22.18,3.69,81.77,179
[00:07:43.345],3.67,22.03,5.16,113.61,180
[00:07:43.546],3.67,22.03,5.92,129.84,180
[00:07:43.952],3.67,22.02,5.08,111.79,181
[00:07:44.153],3.68,22.08,4.57,100.88,181
[00:07:44.554],3.69,22.12,3.68,93.36,181
[00:07:44.962],3.71,22.25,2.88,64.17,182
[00:07:45.563],3.72,22.30,2.20,54.59,182
[00:07:46.372],3.73,22.38,1.68,37.62,182
[00:07:47.583],3.72,22.32,2.43,54.13,183
[00:07:48.191],3.71,22.24,3.16,70.36,183
[00:07:48.393],3.72,22.30,2.63,58.58,184
[00:07:48.796],3.70,22.19,3.68,81.62,184
[00:07:48.998],3.72,22.29,2.64,58.79,184
[00:07:49.403],3.70,22.18,3.78,83.69,184
[00:07:49.605],3.72,22.30,2.54,56.55,185
[00:07:49.807],3.70,22.19,3.62,80.25,185
[00:07:50.008],3.71,22.28,2.68,59.82,185
[00:07:50.210],3.70,22.19,3.60,79.77,185
[00:07:50.412],3.71,22.25,2.90,64.45,185
[00:07:51.015],3.70,22.19,3.54,78.40,186
[00:07:51.217],3.72,22.32,2.34,52.24,186
[00:07:51.418],3.72,22.32,3.81,84.37,186
[00:07:51.620],3.69,22.17,2.75,84.37,186
[00:07:52.631],3.70,22.21,3.30,73.38,187
[00:07:52.833],3.71,22.28,2.57,57.33,187
[00:07:53.034],3.70,22.20,3.38,74.92,188
[00:07:53.844],3.71,22.26,2.81,62.53,188
[00:07:54.046],3.70,22.20,3.38,74.93,188
[00:07:55.149],3.70,22.22,3.23,71.63,189
[00:07:56.241],3.70,22.17,3.56,78.94,190
[00:07:56.667],3.71,22.27,2.65,59.01,191
[00:07:56.868],3.71,22.27,3.72,59.01,191
[00:07:57.677],3.71,22.26,2.76,61.44,192
[00:07:58.079],3.71,22.28,3.62,55.19,192
[00:07:58.286],3.71,22.27,2.59,57.68,192
[00:07:58.688],3.69,22.14,3.87,85.71,193
[00:07:58.890],3.71,22.28,2.53,56.25,193
[00:07:59.091],3.70,22.22,3.12,69.36,193
[00:07:59.496],3.71,22.27,2.58,57.51,193
[00:07:59.696],3.70,22.18,3.54,78.53,193
[00:08:00.502],3.70,22.18,2.96,65.75,194
[00:08:00.704],3.70,22.23,3.56,65.75,194
[00:08:01.111],3.71,22.23,2.92,64.79,195
[00:08:01.313],3.69,22.17,3.61,80.08,195
[00:08:01.716],3.71,22.23,2.91,64.74,195
[00:08:01.918],3.69,22.16,3.57,79.04,196
[00:08:02.319],3.70,22.22,3.03,67.41,196
[00:08:03.130],3.69,22.16,3.55,78.55,197
[00:08:04.126],3.69,22.15,3.72,82.28,198
[00:08:04.740],3.69,22.16,3.03,77.62,198
[00:08:05.944],3.70,22.21,3.02,66.97,199
[00:08:06.563],3.69,22.14,3.75,83.06,200
[00:08:07.572],3.70,22.18,3.34,73.95,201
[00:08:07.774],3.69,22.12,3.94,87.03,201
[00:08:08.176],3.69,22.17,3.40,75.39,201
[00:08:09.133],3.69,22.13,3.78,83.65,202
[00:08:09.386],3.71,22.24,2.69,59.78,203
[00:08:09.587],3.69,22.15,3.51,77.72,203
[00:08:09.788],3.69,22.15,2.94,77.72,203
[00:08:10.194],3.67,22.01,4.89,107.73,203
[00:08:10.596],3.68,22.06,4.37,96.37,204
[00:08:11.003],3.68,22.11,3.84,84.73,204
[00:08:11.915],3.68,22.08,4.04,89.08,205
[00:08:12.007],3.68,22.08,3.48,89.08,206
[00:08:12.215],3.68,22.08,4.13,91.04,206
[00:08:13.068],3.68,22.07,4.18,92.24,207
[00:08:13.904],3.68,22.06,4.15,91.46,208
[00:08:14.231],3.69,22.14,3.36,74.42,208
[00:08:14.839],3.70,22.20,2.86,63.47,209
[00:08:16.157],3.70,22.22,2.74,60.78,210
[00:08:16.651],3.70,22.21,3.25,71.95,210
[00:08:16.852],3.70,22.17,2.68,71.95,210
[00:08:17.054],3.70,22.22,3.43,59.47,210
[00:08:17.664],3.68,22.09,3.98,88.00,211
[00:08:18.267],3.70,22.18,3.01,66.83,212
[00:08:18.468],3.70,22.18,4.21,92.87,212
[00:08:18.670],3.68,22.06,3.68,81.46,212
[00:08:19.581],3.68,22.08,3.97,87.67,213
[00:08:20.435],3.67,22.04,4.27,94.09,214
[00:08:20.487],3.66,21.96,5.16,113.22,214
[00:08:20.894],3.67,22.04,4.33,95.41,215
[00:08:21.295],3.68,22.10,3.70,81.71,215
[00:08:21.698],3.69,22.14,3.06,67.91,215
[00:08:22.912],3.70,22.22,2.54,56.33,216
[00:08:23.719],3.69,22.17,3.18,70.39,217
[00:08:24.751],3.69,22.13,3.45,76.40,218
[00:08:25.817],3.69,22.13,3.38,74.91,219
[00:08:26.843],3.69,22.12,3.54,78.28,220
[00:08:27.552],3.68,22.05,4.19,92.30,221
[00:08:27.753],3.68,22.05,5.36,92.30,221
[00:08:28.361],3.67,21.99,4.62,101.66,222
[00:08:28.967],3.68,22.07,3.82,84.27,223
[00:08:29.775],3.69,22.15,3.04,67.37,223
[00:08:30.176],3.70,22.22,2.53,56.13,224
[00:08:30.985],3.71,22.29,1.89,42.14,224
[00:08:33.076],3.72,22.32,1.65,36.93,225
[00:08:35.230],3.72,22.33,1.67,37.37,226
[00:08:37.368],3.72,22.33,1.68,37.53,227
[00:08:39.539],3.72,22.34,1.69,37.68,228
[00:08:41.963],3.73,22.36,1.45,32.33,229
[00:08:44.447],3.73,22.37,1.39,31.09,230
[00:08:46.944],3.73,22.37,1.46,32.61,231
[00:08:49.511],3.73,22.38,1.35,30.16,232
[00:08:52.188],3.73,22.39,1.32,29.56,233
[00:08:54.879],3.73,22.39,1.32,29.44,234
[00:08:57.534],3.73,22.39,1.33,29.72,235
[00:09:00.185],3.73,22.39,1.37,30.61,236
[00:09:02.872],3.73,22.39,1.36,30.37,237
[00:09:05.569],3.73,22.39,1.32,29.60,238
[00:09:08.290],3.73,22.39,1.32,29.48,239
[00:09:10.953],3.73,22.39,1.36,30.37,240
[00:09:11.360],3.74,22.47,0.65,14.56,240
[00:09:17.299],3.75,22.47,0.74,16.56,241
[00:09:22.021],3.74,22.47,0.83,18.72,242
[00:09:26.455],3.74,22.47,0.80,18.03,243
[00:09:30.855],3.74,22.47,0.82,18.37,244
[00:09:35.298],3.74,22.47,0.82,18.34,245
[00:09:39.790],3.74,22.47,0.80,17.96,246
[00:09:44.382],3.75,22.47,0.77,17.31,247
[00:09:49.021],3.75,22.48,0.76,17.14,248
[00:09:53.642],3.75,22.47,0.81,18.18,249
[00:09:58.196],3.75,22.47,0.79,17.77,250
[00:10:02.784],3.75,22.47,0.79,17.79,251
[00:10:07.374],3.74,22.47,0.83,18.62,252
[00:10:11.811],3.74,22.47,0.81,18.14,253
[00:10:16.143],3.74,22.46,0.84,18.97,254
[00:10:20.410],3.74,22.46,0.85,19.10,255
[00:10:24.648],3.74,22.46,0.83,18.64,256
[00:10:28.903],3.74,22.46,0.81,18.28,257
[00:10:33.188],3.74,22.46,0.85,19.10,258
[00:10:37.523],3.74,22.45,0.82,18.48,259
[00:10:41.809],3.74,22.45,0.91,20.41,260
[00:10:45.944],3.74,22.45,0.86,19.29,261
[00:10:50.279],3.74,22.46,0.83,18.64,262
[00:10:54.689],3.74,22.46,0.80,18.07,263
[00:10:58.785],3.74,22.44,0.90,20.14,264
[00:11:02.936],3.74,22.44,0.86,19.24,265
[00:11:07.016],3.74,22.44,0.87,19.50,266
[00:11:11.132],3.74,22.44,0.87,19.61,267
[00:11:13.892],3.75,22.50,0.25,5.68,268
[00:11:20.426],3.74,22.47,0.66,14.91,269
[00:11:24.385],3.72,22.33,1.89,42.14,270
[00:11:26.138],3.71,22.28,2.31,51.56,271
[00:11:26.202],3.71,22.28,1.67,37.25,271
[00:11:26.403],3.72,22.35,2.25,37.25,271
[00:11:26.811],3.70,22.21,2.90,64.43,271
[00:11:27.415],3.68,22.11,3.90,86.09,272
[00:11:27.617],3.70,22.18,3.18,70.49,272
[00:11:28.771],3.69,22.16,3.23,71.49,273
[00:11:29.431],3.69,22.12,3.83,84.53,274
[00:11:30.346],3.68,22.10,3.59,79.41,275
[00:11:31.318],3.68,22.07,3.83,84.62,276
[00:11:32.307],3.68,22.09,3.64,80.48,277
[00:11:33.254],3.68,22.06,3.80,83.75,278
[00:11:33.472],3.70,22.21,2.32,51.54,278
[00:11:33.874],3.71,22.29,1.66,36.97,278
[00:11:35.487],3.71,22.25,2.26,45.15,279
[00:11:36.901],3.72,22.29,1.60,35.60,280
[00:11:38.515],3.71,22.26,2.88,43.97,280
[00:11:39.526],3.68,22.06,3.82,84.34,281
[00:11:39.728],3.70,22.17,2.70,59.85,281
[00:11:39.929],3.68,22.10,3.42,75.57,282
[00:11:40.131],3.70,22.19,2.53,56.09,282
[00:11:41.544],3.71,22.26,1.85,41.18,283
[00:11:42.148],3.70,22.22,2.80,47.49,283
[00:11:42.350],3.69,22.16,2.23,62.13,283
[00:11:43.849],3.70,22.18,2.61,57.85,284
[00:11:44.373],3.71,22.23,2.03,45.21,285
[00:11:45.178],3.72,22.29,1.50,33.33,285
[00:11:46.185],3.71,22.26,2.11,39.89,285
[00:11:47.956],3.70,22.21,2.30,50.98,286
[00:11:49.213],3.70,22.19,1.29,55.97,287
[00:11:50.630],3.71,22.26,1.91,42.38,288
[00:11:50.831],3.70,22.19,2.50,55.53,288
[00:11:51.838],3.70,22.22,1.99,48.97,288
[00:11:53.597],3.71,22.23,2.13,47.25,289
[00:11:55.362],3.70,22.23,2.06,45.71,290
[00:11:57.155],3.71,22.24,1.89,42.05,291
[00:11:58.500],3.71,22.23,2.48,55.01,292
[00:12:00.000],3.70,22.22,2.15,47.76,293
[00:12:00.115],3.69,22.15,2.74,60.60,293
[00:12:00.317],3.69,22.15,2.21,48.98,293
[00:12:00.720],3.70,22.20,2.71,48.83,294
[00:12:02.180],3.69,22.17,2.44,54.12,295
[00:12:03.576],3.69,22.14,2.71,60.08,296
[00:12:04.357],3.71,22.24,1.82,40.40,296
[00:12:04.960],3.69,22.15,2.68,59.41,297
[00:12:05.972],3.70,22.20,2.18,48.40,297
[00:12:07.438],3.69,22.15,2.60,57.58,298
[00:12:08.925],3.70,22.18,2.27,50.21,299
[00:12:10.415],3.71,22.26,1.51,33.51,300
[00:12:11.018],3.70,22.18,2.33,51.64,301
[00:12:11.621],3.70,22.17,1.76,53.06,301
[00:12:11.823],3.71,22.23,2.26,50.21,301
[00:12:13.449],3.70,22.17,2.42,53.58,302
[00:12:14.046],3.71,22.24,1.66,36.85,302
[00:12:14.650],3.70,22.18,2.33,51.69,303
[00:12:15.863],3.71,22.25,1.59,35.26,303
[00:12:16.064],3.70,22.19,2.20,48.87,303
[00:12:16.267],3.71,22.24,1.64,36.53,304
[00:12:18.543],3.71,22.26,1.54,34.38,305
[00:12:18.889],3.72,22.33,0.91,20.42,305
[00:12:19.497],3.71,22.26,1.53,34.14,305
[00:12:22.047],3.71,22.28,1.42,31.65,306
[00:12:22.525],3.70,22.19,2.28,50.51,306
[00:12:22.727],3.71,22.28,1.34,29.81,306
[00:12:23.129],3.70,22.21,2.07,45.97,306
[00:12:23.532],3.69,22.15,2.58,57.14,307
[00:12:24.543],3.70,22.21,2.03,45.06,307
[00:12:26.291],3.70,22.18,2.26,50.19,308
[00:12:27.572],3.71,22.25,1.60,35.57,309
[00:12:29.697],3.70,22.23,1.81,40.22,310
[00:12:31.404],3.72,22.29,1.20,26.67,311
[00:12:33.905],3.71,22.25,1.59,35.40,312
[00:12:36.393],3.72,22.30,1.17,26.04,313
[00:12:38.923],3.72,22.30,1.15,25.63,314
[00:12:39.881],3.72,22.30,2.17,26.08,314
[00:12:40.289],3.71,22.28,1.34,29.74,314
[00:12:41.703],3.70,22.19,2.24,49.72,315
[00:12:42.308],3.71,22.25,1.53,34.08,315
[00:12:42.509],3.70,22.18,2.33,51.69,315
[00:12:43.112],3.71,22.24,1.64,36.52,316
[00:12:43.716],3.70,22.19,2.20,47.36,316
[00:12:44.928],3.70,22.18,1.63,50.29,317
[00:12:45.135],3.69,22.16,2.43,53.74,317
[00:12:45.738],3.71,22.24,1.58,35.09,317
[00:12:45.940],3.70,22.17,2.32,51.38,317
[00:12:47.554],3.70,22.22,1.79,39.78,318
[00:12:47.756],3.69,22.14,2.52,55.86,319
[00:12:49.289],3.69,22.16,2.30,50.86,320
[00:12:50.753],3.69,22.14,2.47,54.72,321
[00:12:52.142],3.68,22.09,2.82,62.39,322
[00:12:53.407],3.70,22.20,1.89,41.88,322
[00:12:53.812],3.68,22.10,2.81,62.16,323
[00:12:54.820],3.68,22.09,2.21,63.36,323
[00:12:55.228],3.71,22.24,1.41,31.34,324
[00:12:55.425],3.71,22.24,1.93,31.34,324
[00:12:55.829],3.69,22.15,2.46,50.27,324
[00:12:56.234],3.70,22.19,1.91,42.29,324
[00:12:56.436],3.71,22.25,1.27,28.36,324
[00:12:57.848],3.71,22.26,2.06,45.58,325
[00:12:59.578],3.70,22.18,2.01,44.62,326
[00:13:01.284],3.70,22.23,1.45,32.12,327
[00:13:03.957],3.71,22.23,1.54,34.21,328
[00:13:05.939],3.70,22.20,1.83,40.73,329
[00:13:06.531],3.71,22.25,1.33,29.66,329
[00:13:08.348],3.70,22.20,1.85,41.07,330
[00:13:10.136],3.70,22.18,2.04,45.14,331
[00:13:11.981],3.71,22.24,1.46,32.36,332
[00:13:12.585],3.72,22.29,0.90,20.02,332
[00:13:13.596],3.71,22.24,1.46,32.47,332
[00:13:15.814],3.72,22.30,0.94,21.06,333
[00:13:19.246],3.71,22.25,1.46,32.56,334
[00:13:21.677],3.71,22.24,1.48,32.95,335
[00:13:24.050],3.71,22.24,1.54,34.14,336
[00:13:26.343],3.71,22.25,1.43,31.92,337
[00:13:28.806],3.71,22.23,1.56,34.75,338
[00:13:31.161],3.70,22.23,1.61,35.83,339
[00:13:33.501],3.71,22.25,1.35,30.01,340
[00:13:36.362],3.71,22.26,1.27,28.34,341
[00:13:39.190],3.71,22.26,1.27,28.26,342
[00:13:39.835],3.70,22.21,1.88,38.52,342
[00:13:41.702],3.70,22.18,1.96,43.42,343
[00:13:43.642],3.70,22.17,2.03,45.04,344
[00:13:44.482],3.71,22.23,1.40,31.10,345
[00:13:47.114],3.71,22.24,1.42,31.55,346
[00:13:49.718],3.71,22.24,1.38,30.72,347
[00:13:52.326],3.71,22.24,1.35,30.06,348
[00:13:54.987],3.71,22.24,1.36,30.31,349
[00:13:57.637],3.71,22.24,1.33,29.62,350
[00:14:00.217],3.70,22.22,1.52,33.87,351
[00:14:02.297],3.70,22.20,1.69,37.44,352
[00:14:04.505],3.70,22.22,1.50,33.25,353
[00:14:05.878],3.71,22.27,0.98,21.73,353
[00:14:09.245],3.71,22.25,1.23,27.27,354
[00:14:10.120],3.70,22.17,1.96,43.30,355
[00:14:10.926],3.68,22.11,2.55,56.39,355
[00:14:12.305],3.68,22.06,2.95,65.04,356
[00:14:13.507],3.68,22.06,2.88,63.52,357
[00:14:14.812],3.68,22.06,2.77,61.06,358
[00:14:15.365],3.69,22.17,1.70,37.70,358
[00:14:17.600],3.70,22.18,1.65,36.70,359
[00:14:19.812],3.70,22.18,1.67,37.14,360
[00:14:22.165],3.70,22.21,1.29,28.74,361
[00:14:24.523],3.70,22.21,1.38,30.60,362
[00:14:25.457],3.71,22.25,0.73,21.21,363
[00:14:25.861],3.71,22.26,1.32,29.39,363
[00:14:28.623],3.70,22.21,1.40,31.06,364
[00:14:31.488],3.71,22.26,0.92,20.48,365
[00:14:31.719],3.70,22.20,1.53,33.93,365
[00:14:33.129],3.71,22.25,1.01,22.53,365
[00:14:36.585],3.71,22.26,0.93,20.68,366
[00:14:39.674],3.70,22.23,1.31,29.21,367
[00:14:41.606],3.71,22.25,0.76,23.13,368
[00:14:42.413],3.71,22.23,1.35,27.00,368
[00:14:44.637],3.69,22.15,2.02,44.70,369
[00:14:46.251],3.70,22.23,1.19,26.47,370
[00:14:48.269],3.72,22.32,0.35,7.89,371
[00:14:49.276],3.71,22.28,1.27,17.29,371
[00:14:49.882],3.71,22.25,0.57,23.10,371
[00:14:56.453],3.72,22.31,0.57,12.68,372
[00:14:56.746],3.71,22.27,1.21,26.83,372
[00:14:57.758],3.72,22.30,0.70,15.59,372
[00:14:59.373],3.71,22.25,1.20,26.68,373
[00:15:02.086],3.70,22.22,1.34,29.80,374
[00:15:04.671],3.70,22.21,1.41,31.21,375
[00:15:06.943],3.70,22.20,1.50,33.19,376
[00:15:07.041],3.70,22.20,2.66,58.71,376
[00:15:08.421],3.68,22.10,2.36,52.17,377
[00:15:08.656],3.68,22.10,3.82,83.71,377
[00:15:08.857],3.66,21.95,2.61,83.71,377
[00:15:09.266],3.69,22.13,2.07,45.69,377
[00:15:10.070],3.68,22.07,2.60,57.47,378
[00:15:10.270],3.68,22.07,3.58,57.47,378
[00:15:10.472],3.66,21.96,2.76,78.57,378
[00:15:11.081],3.65,21.92,3.90,85.44,379
[00:15:11.282],3.67,22.00,3.13,68.92,379
[00:15:11.484],3.68,22.10,2.20,48.70,379
[00:15:13.101],3.69,22.15,1.62,35.94,380
[00:15:13.503],3.68,22.09,2.33,51.41,380
[00:15:14.109],3.69,22.16,1.64,36.41,380
[00:15:14.311],3.68,22.07,2.45,54.14,381
[00:15:14.917],3.69,22.15,1.64,36.40,381
[00:15:15.119],3.68,22.06,2.51,55.37,381
[00:15:15.523],3.69,22.12,1.94,42.98,381
[00:15:15.725],3.68,22.06,2.52,55.56,381
[00:15:16.129],3.69,22.11,1.99,44.04,382
[00:15:16.330],3.68,22.05,2.57,56.56,382
[00:15:16.735],3.68,22.10,2.06,45.47,382
[00:15:18.250],3.68,22.07,2.35,51.82,383
[00:15:19.801],3.67,22.05,2.55,56.30,384
[00:15:21.287],3.68,22.06,2.29,50.43,385
[00:15:22.722],3.67,22.02,2.71,59.59,386
[00:15:24.118],3.67,22.03,2.60,57.35,387
[00:15:25.011],3.66,21.96,3.17,69.50,388
[00:15:26.205],3.67,22.00,2.83,62.31,389
[00:15:27.397],3.66,21.99,2.88,63.20,390
[00:15:28.602],3.67,21.99,2.81,61.76,391
[00:15:29.451],3.66,21.93,3.33,73.03,392
[00:15:29.653],3.66,21.99,2.75,60.52,392
[00:15:29.855],3.66,21.93,3.28,71.99,392
[00:15:30.058],3.67,21.99,2.71,59.48,392
[00:15:31.430],3.67,22.04,2.27,50.08,393
[00:15:31.471],3.66,21.94,3.23,70.94,393
